#NAME,SFX02,SFX02,SFX02,SFX02,SFX02,SFX03,SFX03,SFX03,SFX03,SFX03,SFX04,SFX04,SFX04,SFX04,SFX04,SFX05,SFX05,SFX05,SFX05,SFX05,SFX06,SFX06,SFX06,SFX06,SFX06,SFX07,SFX07,SFX07,SFX07,SFX07,SFX08,SFX08,SFX08,SFX08,SFX09,SFX09,SFX09,SFX09,SFX10,SFX10,SFX10,SFX10,SFX11,SFX11,SFX11,SFX11,SFX12,SFX12,SFX12,SFX12,SFX12,SFX13,SFX13,SFX13,SFX13,SFX13,SFX14,SFX14,SFX14,SFX14,SFX14,SFX15,SFX15,SFX15,SFX15,SFX15,SFX16,SFX16,SFX16,SFX16,SFX16,SFX18,SFX18,SFX18,SFX18,SFX18,SFX19,SFX19,SFX19,SFX19,SFX19,SFX20,SFX20,SFX20,SFX20,SFX20,SFX21,SFX21,SFX21,SFX21,SFX21,SFX22,SFX22,SFX22,SFX22,SFX22,SFX23,SFX23,SFX23,SFX23,SFX24,SFX24,SFX24,SFX24,SFX24,SFX25,SFX25,SFX25,SFX25,SFX25,SFX26,SFX26,SFX26,SFX26,SFX26,SFX27,SFX27,SFX27,SFX27,SFX27,SFX28,SFX28,SFX28,SFX28,SFX28,SFX29,SFX29,SFX29,SFX29,SFX29,SFX30,SFX30,SFX30,SFX30,SFX30,SFX31,SFX31,SFX31,SFX31,SFX31,SFX32,SFX32,SFX32,SFX32,SFX32
#CLASS:PHENOTYPE,add_fx,add_fx,add_fx,add_fx,add_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,add_fx,add_fx,add_fx,add_fx,add_fx,add_fx,add_fx,add_fx,add_fx,add_fx,single_fx,single_fx,single_fx,single_fx,single_fx,add_fx,add_fx,add_fx,add_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,add_fx,add_fx,add_fx,add_fx,add_fx,single_fx,single_fx,single_fx,single_fx,single_fx,add_fx,add_fx,add_fx,add_fx,add_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,single_fx,add_fx,add_fx,add_fx,add_fx,add_fx,single_fx,single_fx,single_fx,single_fx,single_fx,add_fx,add_fx,add_fx,add_fx,add_fx,single_fx,single_fx,single_fx,single_fx,single_fx,add_fx,add_fx,add_fx,add_fx,add_fx,single_fx,single_fx,single_fx,single_fx,single_fx,add_fx,add_fx,add_fx,add_fx,add_fx,single_fx,single_fx,single_fx,single_fx,single_fx
#CLASS:TIME,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,5,1,2,3,5,1,2,4,5,1,2,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
7422,8623.9,9418.3,9737.1,8811.7,8589.8,11760.0,12044.3,14068.1,11197.5,14317.1,7800.0,10308.7,9288.8,8319.7,8078.0,9132.9,10887.9,10256.8,8633.7,9435.0,17079.2,9923.9,9976.2,9128.2,10693.1,9397.4,10543.9,9562.3,12050.7,9995.7,7671.4,7786.9,8906.5,8529.5,8728.4,11353.1,9650.1,9243.0,8882.3,8937.0,14205.6,11883.0,12808.1,12465.1,11484.1,8187.0,8114.1,7987.9,7664.5,8630.2,8536.7,8253.5,7991.1,7603.6,10415.6,10416.4,10756.4,9768.4,9796.5,13259.8,14053.4,13569.4,13249.6,12342.0,7956.2,9097.4,8898.2,7472.2,7530.7,9954.1,12885.5,10885.0,10148.8,9311.6,7519.9,7937.9,8171.3,7767.7,7322.6,9663.2,13884.2,9299.4,9282.7,11211.2,8335.9,9540.3,9378.0,8778.8,7871.2,11767.5,11006.9,11495.9,10693.5,10476.8,10909.3,9247.0,10206.8,8973.6,9189.8,10364.9,10445.5,10541.9,12124.6,9760.6,9667.4,8182.4,8773.4,10069.1,10841.4,10425.9,9446.3,9098.2,8823.8,8745.5,8463.0,8408.6,7821.1,8865.3,7360.2,8223.9,7159.1,7474.7,8129.1,8804.7,8250.6,8015.1,8205.2,8026.3,9419.5,8049.8,8406.0,9644.4,9128.1,8748.6,9233.7,9912.2,9136.9,9780.8,10440.3,10961.6,9313.3,8550.5,9192.1,8696.0,9659.6
283,3313.9,3967.1,3323.4,3678.3,3044.1,4279.8,5585.8,4938.3,4548.9,4389.0,4124.0,3802.1,4275.8,4126.0,4178.6,4521.2,4579.0,4493.9,3460.1,4477.0,4204.0,4790.9,5251.6,4221.9,4709.9,3517.2,4274.4,3771.7,3593.6,3086.0,4045.3,3733.3,3582.8,3560.3,3696.0,5105.0,4698.5,4507.3,4177.4,4775.6,4707.1,3851.4,3634.4,3450.3,4120.0,4372.7,3912.5,3491.9,3943.5,2803.5,2972.1,2558.1,2258.4,2948.1,3448.4,3854.6,4181.2,4020.8,3420.4,4555.5,4601.6,3936.3,4159.4,4194.8,4022.5,5139.0,3950.1,4557.9,4716.9,5622.1,5126.3,5657.4,5187.2,4806.3,3597.3,3785.4,3467.1,3673.5,2938.0,4461.7,4578.0,4620.4,4722.7,5060.0,3946.1,4467.5,4396.5,4187.4,3982.9,3508.2,4125.2,4174.8,4202.0,3511.0,4142.1,2959.2,3128.3,2518.3,2794.4,4710.9,4002.8,4227.0,4021.5,3830.7,4050.0,4196.0,3289.5,4339.2,3569.0,3704.1,4275.4,3261.1,3355.8,2899.1,3488.3,3827.0,4158.4,4698.4,4397.8,3460.2,2910.9,2534.9,2810.7,2392.9,2591.7,3158.5,2870.3,3158.1,3192.1,2902.1,3609.1,7480.5,3606.6,3575.5,3325.1,3011.4,2412.3,2794.7,2596.2,2429.4,3201.8,4127.0,3617.2,3728.0,3280.8
2247,1640.1,1208.8,1384.0,1855.2,2160.3,1859.4,1632.3,1960.0,1896.7,1254.3,3005.8,2877.5,2943.1,2858.0,2850.4,1960.6,1331.0,1636.6,1782.6,1347.4,3097.1,2162.0,2037.2,2537.5,2336.2,1608.7,1271.9,1327.7,1060.3,1103.8,1299.3,1395.0,1167.9,1478.6,1244.3,1304.8,1268.6,1408.6,1409.0,1471.2,1622.8,2068.4,2681.7,2777.6,1525.6,1311.1,1513.7,1531.1,1452.3,4809.7,4384.4,6075.3,6195.4,5704.5,4633.3,5061.1,4959.2,4136.2,4269.1,1588.2,1237.1,1358.4,1562.4,1949.6,2613.4,3235.6,4252.6,3267.8,3132.8,2018.9,2158.3,2106.8,2177.6,2168.6,1577.8,1607.2,1721.3,1696.7,1851.7,1450.3,1117.8,1734.0,1476.3,1327.2,1464.8,1398.6,1706.1,1473.1,1366.2,1375.1,1744.8,2691.6,1453.9,1265.0,3833.7,4096.1,4251.0,4704.2,4324.7,1416.3,1747.3,1594.0,1407.2,1881.9,2383.7,1989.3,1476.3,1588.5,1632.9,1690.2,1747.4,1691.2,1725.4,1492.1,1631.3,1953.9,1589.6,1531.8,1914.0,1603.4,1771.7,1516.3,1622.1,1820.8,1526.5,1782.6,1483.1,1581.9,1548.3,1953.7,940.1,1184.7,1240.0,1220.9,1135.5,2983.5,2828.1,3095.4,3159.4,3442.2,2506.4,1751.8,1199.1,1325.2,1171.3
5054,10667.8,19559.8,6510.5,9056.2,7031.3,18031.6,13984.5,15249.9,11523.3,15309.6,9824.7,11937.8,14176.6,12158.2,12236.6,8368.3,12423.0,8511.3,8570.2,7255.9,15346.0,17474.6,16396.7,14984.2,16971.6,6270.5,8356.8,9215.4,10917.9,11190.7,11461.5,11153.9,12675.3,10256.1,10254.4,11603.2,10100.1,14653.8,11623.9,11598.8,10143.9,11538.4,10837.6,9637.0,11114.6,13870.0,12923.0,13406.8,13742.3,11471.0,12528.6,11342.5,9530.4,13635.1,9634.9,11532.2,9420.2,12868.2,10667.8,12264.9,13732.3,14650.1,8431.3,10671.6,9764.6,15230.3,10082.6,12983.7,12624.0,10936.5,12464.6,15800.2,9569.9,11324.6,12755.9,12263.0,11818.6,13051.9,9636.1,10117.5,18232.7,11613.7,13634.4,11712.8,8147.0,10741.3,8851.8,10997.1,8688.4,14231.7,11506.4,13544.3,18338.1,18059.4,13039.4,12384.1,9857.2,11801.3,9783.4,9446.1,11324.9,10257.0,9161.6,13961.6,15995.2,12567.3,14125.7,8930.4,9299.0,11081.8,9784.4,13613.6,11726.5,11054.9,8560.5,13464.0,11338.2,11629.0,9407.2,12408.8,14259.9,11513.0,12847.9,9187.5,9268.4,12538.8,11946.1,11450.0,10689.3,13938.3,13683.6,15827.8,16363.2,15538.0,18213.5,11583.7,9505.2,10829.9,12126.5,16084.6,9905.9,8436.7,10495.7,11124.4,13105.2
5241,15304.2,11841.6,12268.6,10973.1,11802.5,16056.5,9345.4,8485.5,12703.5,10683.1,17082.9,10519.1,9378.5,10986.1,10218.5,11940.5,8432.7,8930.0,11298.2,12204.6,13127.5,9212.0,11194.2,10794.2,7883.4,11821.5,8526.8,8898.6,8898.2,8431.7,9247.6,8562.0,7720.2,8470.7,10343.2,11795.7,10637.0,10184.0,8606.2,8967.8,11426.2,11097.3,7657.1,8782.9,12151.3,13440.5,9237.5,12151.6,11253.4,7009.8,7416.5,6910.1,10320.7,8257.2,13954.0,11293.8,12434.3,8203.4,10273.9,10619.0,5883.7,8506.0,8139.2,11736.8,11517.1,7453.1,9070.6,10920.8,13218.9,16969.4,9369.2,12932.7,21313.8,17783.4,13365.0,9052.4,8242.1,12000.4,15636.2,13904.2,10627.1,14618.9,15322.9,11947.0,14289.2,8281.9,14380.9,10154.3,13498.4,9583.8,11052.0,11089.6,9115.0,7120.4,8377.5,12568.4,8682.6,8949.5,14334.7,14165.2,13290.7,14868.8,11174.8,9886.2,10546.2,12089.6,9941.5,16875.4,9681.9,13605.6,13459.1,9605.5,11840.2,15631.9,16255.4,17515.7,13846.2,11306.5,10074.2,10750.6,14167.6,10387.2,13666.9,13477.4,10630.1,12024.2,9629.0,9141.6,9078.0,12930.9,10642.3,12315.4,6881.5,9148.3,8737.7,10969.3,18391.5,11497.2,12063.9,10581.2,9977.9,14671.6,13839.5,9494.7,8889.0
174,407.6,431.8,417.1,407.8,379.6,351.5,395.9,387.7,376.6,409.8,528.6,385.0,355.1,384.2,346.4,380.0,384.4,390.9,478.2,419.4,418.4,373.6,406.3,394.5,377.4,398.2,377.0,358.6,347.6,328.9,349.6,366.7,359.4,427.5,372.1,417.8,436.9,393.3,378.1,364.6,469.1,444.9,372.5,404.1,386.6,392.0,361.8,390.3,371.8,358.1,380.0,322.0,398.5,338.2,712.3,750.2,882.0,693.0,687.7,406.0,376.3,371.3,431.9,412.7,352.6,315.2,353.9,377.9,363.7,420.0,374.7,376.9,420.9,466.4,362.2,391.9,390.4,397.9,442.2,377.4,443.6,386.7,412.6,398.4,395.3,372.8,442.2,367.8,360.3,470.1,571.8,519.0,458.1,414.6,373.6,348.4,357.0,321.3,452.7,438.8,406.9,428.8,427.1,381.6,400.3,477.3,381.8,324.6,351.2,354.1,373.8,407.6,385.6,361.4,387.3,380.9,431.9,397.1,454.3,358.7,351.8,376.2,364.2,419.2,374.0,431.1,380.4,418.3,443.1,418.5,676.4,588.4,561.4,548.2,509.9,384.1,521.6,410.3,424.6,366.0,493.8,462.6,378.7,406.7,360.9
335,14669.4,13282.6,13293.2,11442.8,11432.8,17592.8,18583.1,19550.8,21207.7,19088.0,14087.4,13755.0,14631.4,12783.2,13718.7,21568.3,22249.8,19797.7,20959.7,20740.4,24545.2,21635.7,22158.8,10998.8,24510.0,21649.6,27661.4,20714.6,21143.9,21457.7,15949.9,15980.1,14904.4,13955.3,15490.2,20651.9,16176.8,18586.1,18132.7,23243.7,19345.4,16078.2,21434.3,19756.1,20795.7,15665.0,14979.2,14466.2,14257.1,16584.1,14360.1,15680.2,14789.4,15878.4,14986.5,15293.4,17901.4,19924.8,16935.0,11133.8,13695.5,14936.9,12294.2,14577.0,18865.2,15960.6,18029.0,15857.4,17353.6,19323.9,17507.8,18987.6,15965.5,16049.6,17534.1,20965.2,21418.0,19214.8,22820.5,23439.0,23053.1,22522.2,19561.7,21746.5,16088.6,17999.6,15692.3,15693.6,14001.8,17838.8,21128.4,19319.5,18596.9,25498.5,15242.9,15460.4,15391.6,16588.7,16446.8,16820.7,19358.2,17670.0,17332.9,15428.7,16208.9,13932.1,14261.1,16628.7,17247.0,18595.5,17301.7,13999.8,17366.7,17571.4,17509.6,13156.9,12928.8,15179.8,17245.0,14797.0,12220.4,11551.1,11174.9,13514.2,12143.0,21119.0,21602.0,23633.6,20020.7,18999.9,16402.4,19462.8,19068.8,17190.3,19108.8,16483.5,17129.4,17685.2,14499.5,19710.0,11169.1,11181.3,12954.2,13070.4,13535.1
338,1471.8,1549.9,1481.7,374.0,1174.1,1255.6,1413.1,1248.3,1362.0,1111.4,1059.7,1075.1,1179.9,1032.4,871.1,1148.6,1376.8,1311.4,1059.1,1157.0,1322.9,1663.5,1313.8,1251.8,1432.0,1179.9,1537.4,1297.7,1427.6,1373.4,1456.0,1504.4,1299.4,1151.6,1223.3,1329.7,1294.7,1356.8,1159.9,1214.1,1029.7,863.4,854.0,878.9,1037.2,957.9,922.2,883.5,907.1,1766.5,1640.2,1623.0,1564.1,1695.0,1333.2,1049.8,1030.7,969.1,1073.3,1199.9,1074.0,1489.5,1400.6,1388.6,1172.7,1665.1,1552.6,1368.5,1481.8,1018.2,1089.0,1249.7,1008.2,1008.3,775.7,868.2,799.7,913.4,885.8,1657.5,2047.8,1552.3,1550.5,1601.2,1022.3,1175.2,1197.5,1117.4,1134.5,1165.0,1270.0,1350.7,1121.7,1187.1,677.5,796.3,865.3,891.6,873.8,1569.1,1427.0,1345.5,1487.8,1610.7,1331.2,1507.5,1458.8,1439.5,1930.9,1776.5,1523.0,1422.9,1742.9,1290.7,1464.8,1772.3,1922.7,2357.8,2067.8,2537.5,1445.0,1503.6,1803.8,1902.9,1555.8,1405.5,1542.8,1442.9,1647.0,1473.7,731.5,1221.5,1163.2,1185.0,1016.3,1004.4,1015.9,961.0,937.4,1256.4,749.9,866.2,1157.6,864.9,1092.6
3630,277.5,313.3,299.1,294.2,274.1,181.9,212.3,196.3,181.5,194.8,223.1,184.8,183.9,192.6,160.3,210.6,359.5,272.4,234.5,273.2,166.0,175.8,196.8,167.2,170.6,174.0,181.5,179.5,203.8,170.0,202.5,198.4,187.5,272.0,193.2,551.4,253.3,201.8,216.4,223.6,194.2,215.7,174.3,208.9,197.1,211.1,208.5,207.6,173.8,194.7,181.6,177.5,204.2,206.1,177.3,193.4,193.6,172.3,162.8,214.8,191.1,160.4,198.3,157.9,200.3,207.0,247.5,217.1,183.4,226.9,208.4,179.0,197.9,215.9,213.2,167.8,163.3,181.9,180.5,177.0,221.5,167.6,190.1,202.4,228.4,221.5,219.6,204.6,182.1,176.1,239.7,209.4,207.3,150.9,220.9,176.0,220.1,185.3,233.4,207.8,187.2,191.0,183.7,235.2,184.7,210.4,179.7,174.7,182.6,168.2,181.7,233.2,167.0,162.5,186.0,159.7,212.9,206.0,224.6,187.3,317.6,233.7,228.7,246.1,173.4,198.0,199.2,191.8,221.9,196.8,270.0,256.2,233.4,242.5,211.6,186.1,236.7,186.6,199.2,178.3,223.9,238.2,191.2,220.2,267.6
5743,1252.0,1045.7,1069.8,995.9,975.8,1276.3,1164.9,1077.0,1250.2,1286.4,1855.1,1034.0,959.7,1086.4,1015.2,1162.2,960.4,1104.8,1580.6,1171.9,1839.3,2122.2,2579.5,3562.2,5283.2,1117.9,987.3,1002.0,925.6,949.3,947.3,1022.1,973.9,978.1,1040.4,1149.3,1272.6,1113.2,1084.6,1043.4,1220.6,1131.2,940.2,991.0,1132.9,1278.2,964.5,1081.9,1046.1,830.5,906.0,874.6,1108.3,954.5,1134.2,1112.6,1160.5,984.9,1003.2,1036.4,869.7,927.3,1020.5,998.1,1160.6,939.8,1016.3,1164.2,1114.8,1264.2,867.0,998.2,1320.0,1476.0,1156.7,1155.5,1069.1,1172.0,1395.6,1077.7,982.1,1123.5,1265.2,999.9,1119.9,1008.9,1095.7,990.3,1027.9,1104.7,1348.9,1244.6,1000.0,896.3,1016.4,1097.1,1033.4,999.4,1422.0,1250.2,1087.1,1245.9,1037.5,1011.1,1170.7,1518.1,1055.0,1010.8,947.8,941.5,1020.3,1097.7,1128.3,1234.3,1216.7,1356.3,1482.5,1146.8,1295.7,1021.3,1203.4,1023.9,1092.2,1156.4,1061.3,1276.9,968.4,1183.3,994.6,1145.0,1359.7,1192.0,1012.7,1055.9,1056.1,988.2,1838.2,1037.1,1050.4,949.3,1331.2,1469.8,1078.6,1001.3,941.3
